title,url,description,image_url,topics
BMW and Jaguar used banned China parts - US probe,https://www.bbc.com/news/articles/cv2237rplg8o,The car makers used parts made by a supplier banned over alleged links to Chinese forced labour.,https://ichef.bbci.co.uk/news/480/cpsprodpb/adf8/live/6718d150-1710-11ef-a762-7f93a78476c3.jpg,['Business']
Elvis's granddaughter fights Graceland auction,https://www.bbc.com/news/articles/crgg5pne2nno,Actress Riley Keough claims a company trying to sell the estate forged her mother's signature.,https://ichef.bbci.co.uk/news/480/cpsprodpb/be76/live/9047eee0-175f-11ef-b5cc-cb8b8c4cef5a.jpg,['Culture']
Passengers tell of horror aboard turbulence-hit flight,https://www.bbc.com/news/articles/c8889d7x8j4o,"One person has died, with several injured, after severe turbulence on a London to Singapore flight.",https://ichef.bbci.co.uk/news/480/cpsprodpb/e826/live/cb53b0c0-178a-11ef-80aa-699d54c46324.jpg,['Asia']
'Don't give me side eye': Judge gets furious with Trump witness,https://www.bbc.com/news/world-us-canada-69041617,"On Monday, witness Robert Costello appeared frustrated on the stand, glaring at the judge.",https://ichef.bbci.co.uk/news/480/cpsprodpb/15628/production/_133329578_6e30bd80448a23fd4482e22a4b26cbece3d2d373-2.jpg,['US & Canada']
Japan blocks iconic Mt Fuji view to deter tourists,https://www.bbc.com/news/articles/cgrrky897k0o,A big barrier is erected as local residents accuse tourists of dropping litter and parking illegally.,https://ichef.bbci.co.uk/news/480/cpsprodpb/a54b/live/baf13bb0-1732-11ef-a5f9-c9e97f2e93cf.jpg,['Asia']
Gazans ‘shackled and blindfolded’ at Israel hospital,https://www.bbc.com/news/articles/crgygdr7vezo,"Allegations centre on a military hospital where, a whistle-blower said, painkillers were ""routinely"" not used in procedures.",https://ichef.bbci.co.uk/news/480/cpsprodpb/77c8/live/5f286fc0-16d7-11ef-a5f9-c9e97f2e93cf.jpg,['Middle East']
Moose kills US man trying to photograph its calves,https://www.bbc.com/news/articles/clll2epyd4jo,Dale Chorman and a friend went in search of a cow moose and its two newborn calves on his property.,https://ichef.bbci.co.uk/news/480/cpsprodpb/a51b/live/c84c0950-177a-11ef-b5cc-cb8b8c4cef5a.jpg,['US & Canada']
What the ICC arrest warrants mean for Israel and Hamas,https://www.bbc.com/news/articles/cw4490z75v3o,The Israeli and Hamas leaders are suspected of committing war crimes during the continuing war in Gaza.,https://ichef.bbci.co.uk/news/480/cpsprodpb/e2c4/live/d1436a50-1755-11ef-976f-87c9f89e656e.png,['BBC InDepth']
Thousands of Texans have no power as heat rises,https://www.bbc.com/news/world-us-canada-69045473,"Days after a deadly storm, more than 140,000 people are without power - and air conditioning.",https://ichef.bbci.co.uk/news/480/cpsprodpb/17523/production/_133332559_gettyimages-2153582314.jpg,['US & Canada']
Donald Trump biopic causes a stir in Cannes,https://www.bbc.com/news/articles/c3ggplvn5pzo,"Critics broadly praise The Apprentice, but the former president threatens to sue over its content.",https://ichef.bbci.co.uk/news/480/cpsprodpb/8fca/live/73b45980-174b-11ef-976f-87c9f89e656e.jpg,[]
Israel shuts down Associated Press news agency's Gaza live feed,https://www.bbc.com/news/articles/cgeeyvkep4yo,"The AP decries the seizure of its camera, which Israel says was producing footage used by Al Jazeera.",https://ichef.bbci.co.uk/news/480/cpsprodpb/5f1c/live/5a2eede0-178c-11ef-b123-3fd061ca42e1.jpg,['World']
Pochettino leaves Chelsea after one season,https://www.bbc.com/sport/football/articles/c1ww8xw8nywo,Chelsea manager Mauricio Pochettino leaves the club after one season at Stamford Bridge.,https://ichef.bbci.co.uk/news/480/cpsprodpb/eb7a/live/5c0f70d0-6139-11ee-ac8c-9d18dbc280ea.png,['Chelsea']
Ruthless Southgate picks squad grounded on brutal reality,https://www.bbc.com/sport/football/articles/cd11e0v7rlgo,England manager right to axe Marcus Rashford and the old guard but defensive woes exposed in Euro 2024 squad,https://ichef.bbci.co.uk/news/480/cpsprodpb/28a5/live/451a14b0-177e-11ef-952e-d3a3375d552f.jpg,['England Men']
Ronaldo named in Portugal squad for Euro 2024,https://www.bbc.com/sport/football/articles/cx88ljwp5x8o,Cristiano Ronaldo is set to play in his 11th major international tournament as he is named in Portugal's squad for Euro 2024.,https://ichef.bbci.co.uk/news/480/cpsprodpb/dfb1/live/052e0f70-1772-11ef-81a7-e57e7b54b02a.jpg,['Portugal']
Rashford and Henderson left out of England squad,https://www.bbc.com/sport/football/articles/c3gglr8mpzdo,Marcus Rashford and Jordan Henderson are left out of Gareth Southgate's provisional 33-man England squad for Euro 2024.,https://ichef.bbci.co.uk/news/480/cpsprodpb/f2d0/live/da761840-1780-11ef-baa7-25d483663b8e.png,['England Men']
Does Newey guarantee success and should Red Bull replace Perez? - F1 Q&A,https://www.bbc.com/sport/formula1/articles/c4nnd86pgn9o,BBC Sport's F1 correspondent Andrew Benson answers your questions before this weekend's Monaco Grand Prix.,https://ichef.bbci.co.uk/news/480/cpsprodpb/5c5d/live/e45c1090-15fe-11ef-9b12-1ba8f95c4917.jpg,['Formula 1']
Is Edwards really the next Jordan?,https://www.bbc.com/sport/basketball/articles/cv22lzw758wo,Anthony Edwards has been such a standout for Minnesota Timberwolves that he is drawing comparisons with NBA legend Michael Jordan. BBC Sport looks at a rising star.,https://ichef.bbci.co.uk/news/480/cpsprodpb/2168/live/6a4f82f0-176b-11ef-80aa-699d54c46324.png,['Basketball']
Kroos to retire from football after Euro 2024,https://www.bbc.com/sport/football/articles/cd11npex2yyo,Real Madrid and Germany midfielder Toni Kroos is set to retire from professional football after Euro 2024.,https://ichef.bbci.co.uk/news/480/cpsprodpb/71f4/live/326f1090-1765-11ef-806c-bf47bb1274cd.jpg,['European Football']
